,Share of wind and solar in electricity production (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Back to list of tables
Globally/Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2019 - 2020 (points) ,2000 - 2020 (points) ,
Kazakhstan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.3,0.4,0.5,0.8,1.7,2.5,0.9,2.5,
Russia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.2,0.3,0.2,0.3,
Ukraine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.3,0.6,0.9,1.0,0.9,1.1,1.4,2.0,3.1,1.1,3.1,
Uzbekistan,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,-,-,
America,0.6,0.6,0.6,0.6,0.6,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.7,0.7,0.8,1.0,1.1,1.4,1.9,2.3,2.8,3.3,3.9,4.5,5.1,6.2,7.2,7.8,8.7,10.2,1.4,9.7,
North America,0.5,0.5,0.5,0.6,0.5,0.5,0.5,0.4,0.4,0.5,0.5,0.5,0.6,0.6,0.7,0.8,1.0,1.2,1.6,2.2,2.7,3.3,3.8,4.6,5.2,5.7,6.8,7.8,8.3,9.0,10.6,1.5,10.1,
Canada,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.2,0.3,0.4,0.5,0.6,1.4,2.0,2.1,2.4,3.4,4.1,4.6,5.3,5.3,5.7,5.9,6.5,0.6,6.5,
United States,0.6,0.6,0.6,0.6,0.6,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.7,0.7,0.8,0.8,1.1,1.2,1.7,2.3,2.8,3.4,4.1,4.8,5.4,5.9,7.0,8.2,8.6,9.5,11.2,1.7,10.6,
Latin America,1.0,1.0,1.1,1.0,0.9,0.9,0.9,0.8,0.8,0.8,0.8,0.9,0.8,0.9,0.9,0.9,0.9,0.9,0.9,1.0,1.1,1.1,1.4,1.6,2.3,3.3,4.4,5.3,6.2,7.9,9.1,1.2,8.2,
Argentina,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.6,0.7,0.5,0.4,0.4,0.4,1.0,2.8,5.2,2.3,5.1,
Brazil,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.2,0.3,0.4,0.5,0.9,1.2,2.1,3.7,5.8,7.3,8.6,10.0,10.6,0.6,10.6,
Chile,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.3,0.7,0.5,0.6,0.8,2.7,4.5,6.4,9.4,11.0,13.8,16.2,2.4,16.2,
Colombia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.2,0.2,0.0,0.2,
Mexico,4.4,4.2,4.4,4.3,3.8,3.7,3.6,3.3,3.1,2.9,2.9,2.6,2.5,2.7,2.8,2.9,2.6,2.9,2.7,2.7,2.9,2.7,3.1,3.5,4.2,4.9,5.3,5.4,6.0,9.0,11.2,2.2,8.3,
Venezuela,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.1,
Asia,1.2,1.2,1.1,1.1,1.1,1.1,1.1,1.1,1.0,1.1,1.1,1.1,1.0,1.0,0.9,0.9,1.0,1.0,1.1,1.3,1.5,1.8,2.2,2.8,3.1,3.7,4.6,5.7,6.6,7.4,8.4,1.0,7.4,
China,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.4,0.7,1.1,1.5,2.1,2.9,3.3,3.9,5.0,6.4,7.6,8.4,9.6,1.2,9.5,
India,0.0,0.0,0.0,0.0,0.1,0.1,0.2,0.2,0.2,0.3,0.3,0.4,0.4,0.6,0.7,0.9,1.3,1.5,1.7,2.1,2.0,2.5,2.9,3.1,3.3,3.4,4.6,5.3,6.6,7.4,8.2,0.9,7.9,
Indonesia,3.4,2.8,2.6,2.4,3.8,3.7,3.5,3.5,3.4,3.2,5.2,6.0,5.8,5.6,5.5,5.2,5.0,4.9,5.6,5.9,5.5,5.1,4.7,4.4,4.4,4.3,4.3,5.0,5.0,5.0,5.2,0.2,-0.1,
Japan,2.5,2.5,2.4,2.4,2.4,2.7,2.7,2.6,2.3,2.3,2.2,2.3,2.3,2.5,2.4,2.4,2.5,2.5,2.5,2.6,2.7,3.0,3.2,3.8,4.8,6.0,7.1,7.9,8.7,9.8,10.7,0.9,8.5,
Malaysia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.2,0.2,0.2,0.3,0.5,0.9,0.4,0.9,
South Korea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.2,0.3,0.4,0.4,0.5,0.7,0.9,1.2,1.5,2.0,2.4,3.2,5.2,2.0,5.2,
Taiwan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.2,0.3,0.4,0.6,0.6,0.8,0.8,0.9,1.0,1.3,1.6,2.2,3.1,0.9,3.1,
Thailand,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.4,0.8,1.0,1.5,2.0,3.1,3.4,4.6,4.4,-0.2,4.4,
Pacific,1.2,1.2,1.2,1.2,1.1,1.1,1.0,1.1,1.1,1.2,1.3,1.2,1.3,1.4,1.5,1.8,2.2,2.6,3.1,3.7,4.4,5.3,6.0,6.8,8.2,9.0,9.5,10.1,11.4,13.7,16.2,2.5,14.9,
Australia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.3,0.3,0.4,0.8,1.1,1.3,1.6,2.2,2.9,3.7,4.6,5.8,6.6,7.2,8.0,9.6,12.3,15.3,2.9,15.2,
New Zealand,6.8,7.1,7.1,7.1,6.6,6.2,6.1,6.3,7.0,7.7,7.9,7.7,7.6,7.3,7.6,9.0,9.4,10.4,12.1,14.7,16.9,18.3,18.8,19.7,22.0,23.3,23.6,22.9,22.9,23.3,23.9,0.6,16.0,
Africa,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.4,0.4,0.5,0.6,0.6,0.6,0.8,1.5,2.0,2.4,2.7,3.1,3.7,4.4,0.6,4.2,
Algeria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.7,0.8,0.8,0.8,0.0,0.8,
Egypt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.3,0.2,0.4,0.5,0.5,0.5,0.7,0.8,0.9,1.2,1.2,0.9,0.9,1.1,1.3,1.6,1.6,1.5,2.3,3.5,1.2,3.4,
Nigeria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.1,
South Africa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,1.9,2.7,3.5,4.2,4.4,4.9,0.5,4.9,
Middle-East,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.1,0.1,0.2,0.2,0.3,0.4,0.5,0.9,1.1,0.2,1.1,
Iran,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.0,0.2,
Kuwait,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.2,0.3,0.1,0.3,
Saudi Arabia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,
United Arab Emirates,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.3,0.2,0.2,0.5,1.0,2.7,3.6,0.9,3.6,
n.a. : non avalaible ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141 additional countries available in our Global Energy & CO2 Database,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source : Enerdata www.enerdata.net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"© Copyright Enerdata www.enerdata.net. Reproduction and diffusion prohibited (web, photocopy, intranet...) without written permission.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
